Publication Title,PMID,Number of patients,Type of intervention,Drug(s)/Vaccine(s) - if used,"Start date
(if known)","End date 
(if known)","Duration
(in days)",Meta-analysis (Y/N),Type of trial,Retrospective/ Prospective,Geographic location,Date of publication
"Prognostic value of circulating calprotectin levels on the clinical course of COVID-19 differs between serum, heparin, EDTA and citrate sample types",34919937,176,Other,,,,,No,Cohort study,Prospective,"Aalst, Belgium",14-Dec-21
Potential SARS-CoV-2 infectiousness among asymptomatic healthcare workers,34919570,"9,449",Other,,,,,No,Cohort study,,"Stockholm, Sweden",17-Dec-21
"Vaccine effectiveness against SARS-CoV-2 infection, hospitalization, and death when combining a first dose ChAdOx1 vaccine with a subsequent mRNA vaccine in Denmark: A nationwide population-based cohort study",34919548,"5,542,079",Other,,9-Feb-21,23-Jun-21,135,No,"Population-based, observational, cohort study",Retrospective,Denmark,17-Dec-21
"Seroprevalence of SARS-CoV-2 antibodies and retrospective mortality in a refugee camp, Dagahaley, Kenya",34919545,"1,206",Other,,,,,No,Cross-sectional study,Retrospective,Kenya,17-Dec-21
Effects of Vitamin D receptor gene polymorphisms on the prognosis of COVID-19,34919268,297,Other,,,,,No,Cross-sectional study,," Istanbul, Turkey",17-Dec-21
Associations between severe pulmonary function and residual CT abnormalities in rehabilitating COVID-19 patients,34919259,101,Other,,,,,No,Cross-sectional study,Retrospective,"Wuhan, China",17-Dec-21
The efficacy of amantadine hydrochloride in the treatment of COVID-19 - a single-center observation study,34919079,55,Drug(s),Amantadine hydrochloride,,,,No,"Single-center, observational study",Retrospective,Poland,16-Dec-21
Antiphospholipid antibodies in COVID-19-associated pneumonia patients in intensive care unit,34922398,59,Other,,,,,No,,,"Kayseri, Turkey",1-Mar-21
Minimally Invasive Tissue Sampling Findings in 12 Patients With Coronavirus Disease 2019,34910166,12,Other,,22-Oct-20,12-Feb-21,114,No,Observational study,Retrospective,"Barcelona, Spain",15-Dec-21
Infection with the SARS-CoV-2 Delta Variant is Associated with Higher Recovery of Infectious Virus Compared to the Alpha Variant in both Unvaccinated and Vaccinated Individuals,34922338,"2,644",Other,,,,,No,Cohort study,Retrospective,USA,18-Dec-21
The effects of the antecedent use of inhaled steroid on the clinical course of COVID-19: A retrospective study of asthmatic patients,34922224,275,Other,,15-Mar-20,23-Oct-20,223,No,Cross-sectional study,Retrospective,"Riyadh, Saudi Arabia",8-Dec-21
"Sustained inflammation, coagulation activation and elevated endothelin-1 levels without macrovascular dysfunction at 3 months after COVID-19",34922160,203,Other,,1-Feb-20,1-Jun-21,487,No,Cross-sectional observational cohort study,,"Uden, The Netherlands",4-Dec-21
"Rivaroxaban versus no anticoagulation for post-discharge thromboprophylaxis after hospitalisation for COVID-19 (MICHELLE): an open-label, multicentre, randomised, controlled trial",34921756,320,Drug(s), Rivaroxaban | Heparin,8-Oct-20,29-Jun-21,265,No,"Open-label, multicentre, randomised trial",Prospective,Brazil,15-Dec-21
Association between baseline use of angiotensin converting enzyme inhibitors and angiotensin receptor blockers and death among patients tested for COVID-19,34921684,"13,880",Other,,,,,No,Observational cohort study,Retrospective,USA,18-Dec-21
Evaluation of Soluble Fibrin Monomer Complex in Patients in SARS-CoV-2 COVID-19 Infection Associated Coagulopathy,34921683,108,Other,,1-Apr-20,14-Dec-20,258,No,Cohort study,Retrospective,USA,18-Dec-21
Antibody responses to COVID-19 vaccines in older adults,34921432,81,Other,,1-Mar-21,30-Apr-21,61,No,Cross-sectional study,Retrospective,"Istanbul, Turkey",17-Dec-21
"Transmission of COVID-19 from community to healthcare agencies and back to community: a retrospective study of data from Wuhan, China",34921080,"14,020",Other,,,,,No,Case-series study,Retrospective,"Wuhan, China",17-Dec-21
Anti-spike antibody response to natural SARS-CoV-2 infection in the general population,34716320,"7,256",Other,,26-Apr-20,14-Jun-21,415,No,,,UK,29-Oct-21
Immune response dynamics in COVID-19 patients to SARS-CoV-2 and other human coronaviruses,34242356,280,Other,,,,,No,,,"USA, and Pakistan",9-Jul-21
Effect of High-Titer Convalescent Plasma on Progression to Severe Respiratory Failure or Death in Hospitalized Patients With COVID-19 Pneumonia: A Randomized Clinical Trial,34842924,446,Plasma | Drug(s) ,Remedesvir | Glucocorticoids | Low-molecular-weight Heparin,15-Jul-20,8-Dec-20,147,No,Randomized-controlled trial,Prospective,Italy,1-Nov-21
A randomized controlled study of convalescent plasma for individuals hospitalized with COVID-19 pneumonia,34788233,79,Plasma | Drug(s) | Oxygen support,Remedesvir ,18-May-20,8-Jan-21,236,No,Randomized-controlled trial,Prospective,USA,15-Dec-21
An open-label randomized controlled trial evaluating the efficacy of chloroquine/hydroxychloroquine in severe COVID-19 patients,33907251,105,Drug(s), Chloroquine | Hydroxychloroquine,16-Apr-20,6-Aug-20,113,No,Randomized-controlled trial,Prospective,"Curitiba, Brazil",27-Apr-21
"Ivermectin for Prevention and Treatment of COVID-19 Infection: A Systematic Review, Meta-analysis, and Trial Sequential Analysis to Inform Clinical Guidelines",34145166,"3,406",Drug(s),Ivermectin,,,,Yes,"Systematic review, meta-analysis, and trial sequential analysis",Retrospective,,21-Jun-21
The therapeutic efficacy of quercetin in combination with antiviral drugs in hospitalized COVID-19 patients: A randomized controlled trial,34863994,60,Drug(s),Quercetin | Remedesvir | Favipiravir,,,,No,Randomized-controlled trial,Prospective,"Ahvaz, Iran",2-Dec-21
Clinical characteristics and outcomes of critically ill mechanically ventilated COVID-19 patients receiving interleukin-6 receptor antagonists and corticosteroid therapy: a preliminary report from a multinational registry,34600589,860,Drug(s),Interleukin-6 receptor antagonists (IL-6RAs) | Steroids,1-Mar-20,10-Jan-21,316,No,"Multicenter, observational, cohort study",Retrospective,,2-Oct-21
Tocilizumab as treatment for COVID-19: A systematic review and meta-analysis,34026583,"13,476",Drug(s),Tocilizumab,,,,Yes,"Systematic Review, and Meta-analysis",Prospective,,20-May-21
Tocilizumab treatment in critically ill patients with COVID-19: A retrospective observational study,33609773,96,Drug(s),Tocilizumab,1-Mar-20,18-May-20,79,No,Observational study,Retrospective,USA,1-Apr-21
Lack of Effects of the Genetic Polymorphisms of Interleukin-10 in Clinical Outcomes of COVID-19,34115949,193,Other,,,,,No,Cohort study,,"Culiacán, Mexico",12-Oct-21
Serum interleukin-6 is an indicator for severity in 901 patients with SARS-CoV-2 infection: a cohort study,33121497,901,Drug(s),Tocilizumab,,,,No,Cohort study,Retrospective,"Wuhan, China",29-Oct-20
Interleukin-6 blockade with sarilumab in severe COVID-19 pneumonia with systemic hyperinflammation: an open-label cohort study,32620597,56,Drug(s),Sarilumab,14-Mar-20,2-Apr-20,20,No,"Observational, cohort study",Ambispective,"Milan, Italy",3-Jul-20
Interleukin-6 receptor blockade in patients with COVID-19: placing clinical trials into context,33930329,"7,050",Drug(s),Tocilizumab | Sarilumab ,,,,No,Review article,,,27-Apr-21
Cytokine Profiles Before and After Immune Modulation in Hospitalized Patients with COVID-19,33459964,239,Drug(s),Tocilizumab | Glucocorticoids,10-Mar-20,21-Apr-20,43,No,Cohort study,Retrospective,"Connecticut, USA",18-Jan-21
Association Between Early Treatment With Tocilizumab and Mortality Among Critically Ill Patients With COVID-19,33080002,"3,924",Drug(s),Tocilizumab,4-Mar-20,12-Jun-20,101,No,Cohort study,Retrospective,USA,1-Jan-21
Peripheral and lung resident memory T cell responses against SARS-CoV-2,34021148,46,Other,,,,,No,Cohort study,Prospective,"Barcelona, Spain",21-May-21
Interleukin-6 and severe COVID-19: a systematic review and meta-analysis,32933891,"1,357",Other,,17-Mar-20,19-Apr-20,34,Yes,"Systematic review, and Meta-analysis",,"Tehran, Iran",1-Jun-20
"Early administration of interleukin-6 inhibitors for patients with severe COVID-19 disease is associated with decreased intubation, reduced mortality, and increased discharge",32721528,255,Drug(s),Tocilizumab | Sarilumab  ,17-Mar-20,25-May-20,70,No,"Observational, cohort study",,"Massachusetts, USA",25-Jul-20
"Safety and efficacy of anti-il6-receptor tocilizumab use in severe and critical patients affected by coronavirus disease 2019: A comparative analysis
",32652164,222,Drug(s),Tocilizumab,,,,No,"Single-center analysis, comparative study",Retrospective,"Milan, Italy",8-Jul-20
Clinical characteristics and predictors of survival in adults with coronavirus disease 2019 receiving tocilizumab,32646770,81,None/Observatory,,1-Mar-20,3-Apr-20,34,No,"Observational, cohort study",Retrospective,"MI, USA",3-Jul-20
Outcomes in patients with severe COVID-19 disease treated with tocilizumab: a case-controlled study,32569363,193,Drug(s),Tocilizumab,8-Mar-20,25-Apr-20,49,No,"Case-control, single-center study",Retrospective,"NY, USA",1-Aug-20
"Off-label use of tocilizumab for the treatment of SARS-CoV-2 pneumonia in Milan, Italy",32448770,51,Drug(s),Tocilizumab,10-Mar-20,19-Apr-20,41,No,Cohort study,Prospective,"Milan, Italy",21-May-20
Extracorporeal membrane oxygenation for severe acute respiratory distress syndrome associated with COVID-19: a retrospective cohort study,32798468,83,Oxygen support,,8-Mar-20,2-May-20,56,No,Cohort study,Retrospective,"Paris, France",13-Aug-20
Extracorporeal Membrane Oxygenation for Coronavirus Disease 2019-Induced Acute Respiratory Distress Syndrome: A Multicenter Descriptive Study,32427613,59,Oxygen support,,8-Jan-20,31-Mar-20,84,No,"A multicenter, descriptive Study",Retrospective,"Wuhan, China",20-Sep
Treatment of acute respiratory distress syndrome from COVID-19 with extracorporeal membrane oxygenation in obstetrical patients,34813975,10,Oxygen support,,,,,No,Case-series,Retrospective,"Texas, USA",20-Nov-21
Severe Patients With ARDS With COVID-19 Treated With Extracorporeal Membrane Oxygenation in China: A Retrospective Study,34746170,50,None/Observatory,,3-Feb-20,23-Jan-21,356,No,"Observational, descriptive study",Retrospective,China,20-Oct-21
Longer Prehospitalization and Preintubation Periods in Intubated Non-survivors and ECMO Patients With COVID-19: A Systematic Review and Meta-Analysis,34722567,"2,549",None/Observatory,,,,,Yes,"Systematic Review, and Meta-analysis",," Suita, Japan",15-Oct-21
Clinical Characteristics Between Survivors and Nonsurvivors of COVID-19 Patients Requiring Extracorporeal Membrane Oxygenation (ECMO) Support: A Systematic Review and Meta-Analysis,34636697,706,None/Observatory,,1-Dec-19,1-Jun-21,549,Yes,"Systematic Review, and Meta-analysis",,USA,12-Oct-21
Multi-institutional Analysis of 100 Consecutive Patients with COVID-19 and Severe Pulmonary Compromise Treated with Extracorporeal Membrane Oxygenation: Outcomes and Trends Over Time,33902100,100,Oxygen support,,,,,No," Multi-institutional, cohort study",Prospective,USA,1-May-21
Role of extracorporeal membrane oxygenation in critically Ill COVID-19 patients and predictors of mortality,33236373,17,Oxygen support,,1-Mar-20,20-Apr-20,51,No,"Single-center, observational  study",Retrospective,"Aachen, Germany",28-Dec-20
Multi-institutional Analysis of 200 COVID-19 Patients Treated With Extracorporeal Membrane Oxygenation: Outcomes and Trends,34242641,200,Oxygen support,,17-Mar-20,1-Dec-20,260,No,"Multi-institutional, cohort study",Prospective,USA,6-Jul-21
Detection of IFNγ-Secreting CD4 + and CD8 + Memory T Cells in COVID-19 Convalescents after Stimulation of Peripheral Blood Mononuclear Cells with Live SARS-CoV-2,34452355,15,Other,,,,,No,"Cross-sectional, cohort study",,"Saint Petersburg, Russia",29-Jul-21
SARS-CoV-2-specific T cell memory is sustained in COVID-19 convalescent patients for 10 months with successful development of stem cell-like memory T cells,34193870,101,Other,,,,,No,Cohort study,,Republic of Korea,30-Jun-21
SARS-CoV-2 specific memory T cell epitopes identified in COVID-19-recovered subjects,34329696,15,Other,,,,,No,Observational study,,"Tennessee, USA",15-Oct-21
Suboptimal SARS-CoV-2-specific CD8 + T cell response associated with the prominent HLA-A*02:01 phenotype,32913053,35,Other,,,,,No,Cohort study,,Australia,10-Sep-20
SARS-CoV-2 specific T-cell immunity in COVID-19 convalescent patients and unexposed controls measured by ex vivo ELISpot assay,33813122,120,Other,,,,,No,Cohort study,Retrospective,Italy,2-Apr-21
SARS-CoV-2 variants of concern partially escape humoral but not T-cell responses in COVID-19 convalescent donors and vaccinees,34035118,121,Vaccine,BNT162b2 vaccine,,,,No,Cohort study,Prospective,"Rotterdam, The Netherlands",25-May-21
Immunogenicity of Ad26.COV2.S vaccine against SARS-CoV-2 variants in humans,34107529,32,Vaccine | Other,Ad26.COV2.S vaccine,,,,No,"Randomized, blinded, placebo controlled trial",Prospective,"MA, USA",9-Jun-21
BNT162b2 vaccine induces neutralizing antibodies and poly-specific T cells in humans,34044428,86,Vaccine | Other,BNT162b2 vaccine,,,,No,Cohort study,Prospective,"Germany, and USA",27-May-21
Immune characterization and profiles of SARS-CoV-2 infected patients reveals potential host therapeutic targets and SARS-CoV-2 oncogenesis mechanism,34058265,547,Other,,,,,No,,,"Washington, USA",29-May-21
Experience with tocilizumab in severe COVID-19 pneumonia after 80 days of follow-up: A retrospective cohort study,32690352,236,Drug(s),Tocilizumab,12-Mar-20,2-May-20,52,No,Cohort study,Retrospective,Spain,16-Jul-20
Efficacy and safety of tocilizumab in severe COVID-19 patients: a single-centre retrospective cohort study,32482597,65,Drug(s),Tocilizumab,,,,No,Single-centre retrospective cohort study,Retrospective,"Milan, Italy",22-May-20
Interleukin-6 receptor blocking with intravenous tocilizumab in COVID-19 severe acute respiratory distress syndrome: A retrospective case-control survival analysis of 128 patients,32713677,128,Drug(s),Tocilizumab | Hydroxychloroquine |  Lopinavir  | Ritonavir | Darunavir | Cobicistat | Ceftriaxone | Azithromycin | Piperacillin | Tazobactam | IV Methylprednisolone | Enoxaparin,23-Feb-20,9-May-20,77,No,"Case-control, cohort study",Retrospective,Italy,8-Jul-20
Tocilizumab reduces COVID-19 mortality and pathology in a dose and timing-dependent fashion: a multi-centric study,34611251,140,Drug(s),Tocilizumab,1-May-20,July 1 2021,427,No,"Observational, case-controlled study",Retrospective,Mexico,5-Oct-21
Tocilizumab in patients with severe COVID-19: A single-center observational analysis,32628003,66,Drug(s),Tocilizumab | Steroids | Hydroxychloroquine,25-Mar-20,24-Apr-20,31,No,"Single-center, observational study",Retrospective,"PA, USA",29-Jun-20
Tocilizumab as a Therapeutic Agent for Critically Ill Patients Infected with SARS-CoV-2,32918792,145,Drug(s),Tocilizumab,13-Mar-20,16-Apr-20,35,No,"Multi-center, observational study",Retrospective,USA,27-Oct-21
Yindan Jiedu granules exhibit anti-inflammatory effect in patients with novel Coronavirus disease (COVID-19) by suppressing the NF-κB signaling pathway,34785108,262,Drug(s),Traditional chinese medicine,29-Jan-20,23-Jul-20,177,No,,,"Beijing, China",1-Oct-21
Clinical outcome of patients with COVID-19 Pneumonia treated with corticosteroids and colchicine in Colombia,34521428,301,Drug(s),Corticosteroids | Colchicine,20-Mar-20,7-Aug-20,141,No,Cross-sectional study,, Colombia,14-Sep-21
A Comparison of Methylprednisolone and Dexamethasone in Intensive Care Patients With COVID-19,33632000,262,Drug(s), Methylprednisolone | Dexamethasone,1-Mar-20,31-Jul-20,153,No,Cohort study,Retrospective,"California, USA",25-Feb-21
Anakinra combined with methylprednisolone in patients with severe COVID-19 pneumonia and hyperinflammation: An observational cohort study,33220354,120,Drug(s),Anakinra | Methylprednisolone,25-Feb-20,30-Mar-20,35,No,"Observational, cohort study",Prospective,"Milan, Italy",19-Nov-20
Baricitinib improves respiratory function in patients treated with corticosteroids for SARS-CoV-2 pneumonia: an observational cohort study,33020836,112,Drug(s),Baricitinib | Methylprednisolone,15-Mar-20,26-Apr-20,43,No,"Observational, cohort study",Prospective,"Albacete, Spain",5-Jan-21
High-dose methylprednisolone in nonintubated patients with severe COVID-19 pneumonia,33219551,447,Drug(s),Methylprednisolone,1-Mar-20,15-Apr-20,46,No,Cohort study,Retrospective,"NY, USA",1-Dec-20
Glucocorticoids with low-dose anti-IL1 anakinra rescue in severe non-ICU COVID-19 infection: A cohort study,33326457,171,Drug(s),Glucocorticoids | Anakinra,27-Mar-20,10-Apr-20,15,No,Cohort study,Prospective,"Paris, France",16-Dec-20
Intravenous methylprednisolone with or without tocilizumab in patients with severe COVID-19 pneumonia requiring oxygen support: A prospective comparison,34153729,76,Drug(s),Methylprednisolone | Tocilizumab,,,,No,Randomized-controlled Trial,Prospective,"Dubai, UAE",10-Jun-21
Could pulmonary low-dose radiation therapy be an alternative treatment for patients with COVID-19 pneumonia? Preliminary results of a multicenter SEOR-GICOR nonrandomized prospective trial (IPACOVID trial),34230996,36,Other,Low-dose radiation therapy,,,,No,"Multi-center, non randomized trial",Prospective,Spain,6-Jul-21
Possibility of deterioration of respiratory status when steroids precede antiviral drugs in patients with COVID-19 pneumonia: A retrospective study,34473766,67,Drug(s),Favipiravir | Remdesivir | Dexamethasone,,,,No,"Single-center, observational study",Retrospective,Japan,2-Sep-21
Association of Serum Ferritin Levels and Methylprednisolone Treatment With Outcomes in Nonintubated Patients With Severe COVID-19 Pneumonia,34605919,380,Drug(s),Methylprednisolone,1-Mar-20,22-Jul-21,509,No,Cohort study,Retrospective,"NY, USA",1-Oct-21
Comparison of pulse-dose and high-dose corticosteroids with no corticosteroid treatment for COVID-19 pneumonia in the intensive care unit,34542192,184,Drug(s),Methylprednisolone,,,,No,"Single‐center, cohort study",Retrospective,"NY, USA",28-Sep-21
Impact of dexamethasone on SARS-CoV-2 concentration kinetics and antibody response in hospitalized COVID-19 patients: results from a prospective observational study,34139335,101,Drug(s),Dexamethasone,,,,No,"Observational, cohort study",Prospective,"Berlin, Germany",15-Jun-21
The effect of glucocorticoids on mortality in severe COVID-19 patients: Evidence from 13 studies involving 6612 cases,34622840,"6,612",Drug(s),Glucocorticoids,,,,Yes,"Systematic review, and meta-analysis",,"Shenzhen, China",8-Oct-21
Historically controlled comparison of glucocorticoids with or without tocilizumab versus supportive care only in patients with COVID-19-associated cytokine storm syndrome: results of the CHIC study,32719045,172,Drug(s),Glucocorticoids | Tocilizumab,7-Mar-20,31-Mar-20,25,No,Randomized-controlled trial,Ambispective,"Limburg, The Netherlands",20-Jul-20
High-dose corticosteroid pulse therapy increases the survival rate in COVID-19 patients at risk of hyper-inflammatory response,33507958,318,Other,,4-Feb-20,30-Apr-20,87,No,Observational study,Prospective," Jaén, Spain",28-Jan-21
Comparison of demographic and clinical characteristics of hospitalized COVID-19 patients with severe/critical illness in the first wave versus the second wave,34491575,909,Other,,,,,No,"Single‐center, observational study ",Retrospective,"Istanbul, Turkey",15-Sep-21
Association Between Administration of Systemic Corticosteroids and Mortality Among Critically Ill Patients With COVID-19: A Meta-analysis,32876694,"1,703",Drug(s),Corticosteroids ,26-Feb-20,6-Jul-20,132,Yes,"Randomized-controlled trials, and meta-analysis",Prospective,,6-Oct-20
Effect of calcifediol treatment and best available therapy versus best available therapy on intensive care unit admission and mortality among patients hospitalized for COVID-19: A pilot randomized clinical study,32871238,76,Drug(s),Calcifediol,,,,No,"Randomized, pilot, clinical study",Prospective,"Córdoba, Spain",29-Aug-20
Comparison of Time to Clinical Improvement With vs Without Remdesivir Treatment in Hospitalized Patients With COVID-19,33760094,342,Drug(s),Remdesivir | Corticosteroids,4-Mar-20,29-Aug-20,179,No,Comparative study,Retrospective,USA,1-Mar-21
Prediction of an increase in oxygen requirement of SARS-CoV-2 pneumonia using three different scoring systems,33402303,207,Other,,2-Feb-20,31-Aug-20,212,No,Comparative study,Retrospective,"Tokyo, Japan",16-Dec-20
Clinical Use of Short-Course and Low-Dose Corticosteroids in Patients With Non-severe COVID-19 During Pneumonia Progression,32719766,72,Drug(s),Corticosteroids,,,,No,Cohort study,Retrospective,"Nanjing, China",3-Jul-20
Dexamethasone in Hospitalized Patients with Covid-19,32678530,"6,425",Drug(s),Dexamethasone,19-Mar-20,8-Jun-20,82,No,Randomized-controlled trial,Prospective,UK,25-Feb-21
Clinical characteristics and outcomes of critically ill COVID-19 patients in Tokyo: a single-center observational study from the first wave,33563218,24,None/Observatory,,19-Mar-20,26-May-20,69,No,Observational study,Retrospective,"Tokyo, Japan",9-Feb-21
Efficacy of early anti-inflammatory treatment with high doses of intravenous anakinra with or without glucocorticoids in patients with severe COVID-19 pneumonia,33556464,128,Drug(s),IV Anakinra | IV Methylprednisolone | Hydroxychloroquine | Azithromycin | Antivirals | Anticoagulants | Tocilizumab,26-Feb-20,29-Apr-20,64,No,Single-center cohort study,Retrospective,"Genoa, Italy",6-Feb-21
Corticosteroid therapy for coronavirus disease 2019-related acute respiratory distress syndrome: a cohort study with propensity score analysis,33172477,382,Drug(s),Corticosteroids,20-Jan-20,24-Feb-20,36,No,"Single-center, observational study",Retrospective,"Wuhan, China",10-Nov-20
"Role of the early short-course corticosteroids treatment in ARDS caused by COVID-19: A single-center, retrospective analysis",34022675,243,Drug(s),Methylprednisolone | Dexamethasone | Hydrocortisone,9-Mar-20,15-Jun-20,99,No,Single-center study,Retrospective,"Vercelli, Italy",24-Apr-21
A Retrospective Controlled Cohort Study of the Impact of Glucocorticoid Treatment in SARS-CoV-2 Infection Mortality,32571831,463,Drug(s),Glucocorticoid ,4-Mar-20,7-Apr-20,35,No,Controlled cohort study,Retrospective,"Madrid, Spain",20-Aug-20
"Clinical impact of combination therapy with baricitinib, remdesivir, and dexamethasone in patients with severe COVID-19",34413006,44,Drug(s) | Oxygen support,Baricitinib | Remdesivir | Dexamethasone,,,,No,,Retrospective,"Tokyo, Japan",10-Aug-21
Pathophysiology of COVID-19-associated acute respiratory distress syndrome: a multicentre prospective observational study,32861276,301,Other,,9-Mar-20,22-Mar-20,14,No,"A multicentre, observational study",Prospective,Italy,27-Aug-20
Effect of Canakinumab vs Placebo on Survival Without Invasive Mechanical Ventilation in Patients Hospitalized With Severe COVID-19: A Randomized Clinical Trial,34283183,454,Drug(s),Canakinumab,,,,No,"Randomized, double-blind, placebo-controlled phase 3 trial",Prospective, Europe and USA,20-Jul-21
"COVID-19-induced hyperinflammation, immunosuppression, recovery and survival: how causal inference may help draw robust conclusions",33790049,166,Drug(s),Methylprednisolone | Tocilizumab,,,,No,Cohort study,Retrospective,The Netherlands,31-Mar-21
"Predictors of Mortality in Critically Ill COVID-19 Patients Demanding High Oxygen Flow: A Thin Line between Inflammation, Cytokine Storm, and Coagulopathy",33968298,160,Other,,23-Jun-20,2-Oct-20,102,No,,,"Belgrade, Serbia",20-Apr-21
Effect of 12 mg vs 6 mg of Dexamethasone on the Number of Days Alive Without Life Support in Adults With COVID-19 and Severe Hypoxemia: The COVID STEROID 2 Randomized Trial,34673895,982,Drug(s),Dexamethasone,27-Aug-20,20-May-21,267,No,"A multicenter, randomized clinical trial",Prospective,Europe and India,9-Nov-21
Low-to-moderate dose corticosteroids treatment in hospitalized adults with COVID-19,33007478,646,Drug(s),Corticosteroids,29-Dec-19,15-Feb-20,49,No,"Single-centre, cohort study",Retrospective,"Wuhan, China",29-Sep-20
Tocilizumab for Severe Worsening COVID-19 Pneumonia: a Propensity Score Analysis,33188624,96,Drug(s),Tocilizumab,9-Mar-20,11-Apr-20,34,No,Cohort study,Ambispective,"Suresnes, France",14-Nov-20
Efficacy of corticosteroid treatment for hospitalized patients with severe COVID-19: a multicentre study,32971254,513,Other,,22-Feb-20,30-Jun-20,130,No,A multicentre observational study,Retrospective,Italy,22-Sep-20
High-dose dexamethasone treatment for COVID-19 severe acute respiratory distress syndrome: a retrospective study,34275096,98,Drug(s),Dexamethasone,4-Mar-20,1-Apr-20,29,No,Observational study,Retrospective,"Varese, Italy",17-Jul-21
Comparison of Associations Between Glucocorticoids Treatment and Mortality in COVID-19 Patients and SARS Patients: A Systematic Review and Meta-Analysis,33555845,"45,935",None/Observatory,,,,,Yes,"Systematic review, and meta-analysis",,"Sichuan, China",1-Aug-21
High versus standard doses of corticosteroids in severe COVID-19: a retrospective cohort study,33083917,573,Drug(s),Methylprednisolone,,,,No,"Single-center, observational study",Retrospective,"Madrid, Spain",20-Oct-20
Comparison of acute pneumonia caused by SARS-COV-2 and other respiratory viruses in children: a retrospective multi-center cohort study during COVID-19 outbreak,33593415,348,Other,,15-Dec-19,15-Mar-20,92,No,"Multi-center, cohort study",Retrospective,China,16-Feb-21
"Combination therapy of Tocilizumab and steroid for management of COVID-19 associated cytokine release syndrome: A single center experience from Pune, Western India",34398044,515,Drug(s),Tocilizumab | Steroids,2-Apr-20,2-Nov-20,215,No,Cohort study,Retrospective,"Pune, India",23-Jul-21
Sulodexide in the Treatment of Patients with Early Stages of COVID-19: A Randomized Controlled Trial,33677827,243,Drug(s),Sulodexide,5-Jun-20,30-Aug-20,87,No,Randomized-controlled trial,Prospective,Mexico,7-Mar-21
Ruxolitinib versus dexamethasone in hospitalized adults with COVID-19: multicenter matched cohort study,34937556,292,Drug(s),Ruxolitinib | Dexamethasone,7-Apr-20,9-Sep-20,156,No,Cohort study,,Russia,22-Dec-21
Effectiveness of corticosteroids on chest high-resolution computed tomography features of COVID-19 pneumonia,34565246,34,Drug(s),Corticosteroids,15-Mar-20,15-Apr-20,32,No,"Cross-sectional, single-center, case-control study",Retrospective,"Naples, Italy",25-Sep-21
Anakinra after treatment with corticosteroids alone or with tocilizumab in patients with severe COVID-19 pneumonia and moderate hyperinflammation. A retrospective cohort study,33400157,143,Drug(s) | Other,Anakinra | Corticosteroids | Tocilizumab,15-Mar-20,15-May-20,62,No,"Observational, cohort study",Retrospective,"Granada, Spain",5-Jan-21
Whole-lung low-dose radiation therapy (LD-RT) for non-intubated oxygen-dependent patients with COVID-19-related pneumonia receiving dexamethasone and/or remdesevir,34653525,25,Drug(s),Low-dose radiation therapy (LD-RT) | Dexamethasone | Remdesevir,11-Jun-20,7-Dec-20,180,No,Cohort study,Prospective,USA,13-Oct-21
Baricitinib plus dexamethasone compared to dexamethasone for the treatment of severe COVID-19 pneumonia: A retrospective analysis,34294593,197,Drug(s),Baricitinib | Dexamethasone | Enoxaparin ,,,,No,Comparative study,Retrospective,"Monterrey, Mexico",3-Jul-21
Efficacy and safety of colchicine in COVID-19: a meta-analysis of randomised controlled trials,34810227,"16,148",None/Observatory,,,,,Yes,Meta-analysis,,,28-Oct-21
"High-Dose Methylprednisolone Pulses for 3 Days vs. Low-Dose Dexamethasone for 10 Days in Severe, Non-Critical COVID-19: A Retrospective Propensity Score Matched Analysis",34640481,682,Drug(s),Methylprednisolone | Dexamethasone,,,,No,Cohort study,Retrospective,"Barcelona, Spain",28-Sep-21
No evidence of tocilizumab treatment efficacy for severe to critical SARS-CoV2 infected patients: Results from a retrospective controlled multicenter study,34032722,54,Drug(s),Tocilizumab,,,,No,"Multicenter, observational analysis",Retrospective,"Paris, France",28-May-21
Efficacy of corticosteroid in patients with COVID-19: A multi-center retrospective study and meta-analysis,33666250,543,None/Observatory,,29-Dec-19,17-Feb-20,51,Yes," Multi-center, cohort study, and meta-analysis",Retrospective,"Hubei, China",5-May-21
"Methylprednisolone as Adjunctive Therapy for Patients Hospitalized With Coronavirus Disease 2019 (COVID-19; Metcovid): A Randomized, Double-blind, Phase IIb, Placebo-controlled Trial",32785710,393,Drug(s),Methylprednisolone ,18-Apr-20,16-Jun-20,60,No,"A Randomized, double-blind, phase IIb, placebo-controlled trial",Prospective,"Manaus, Brazil",4-May-21
"Combined Therapy of Ciclosporin Plus Favipiravir in the Management of Patients with Severe COVID-19, not Responding to Dexamethasone: A non-Controlled Prospective Trial",34426105,20,Drug(s),Dexamethasone | Favipiravir | Enoxaparin | Pantoprazole | Ciclosporin,,,,No,Non-controlled clinical trial,Prospective,"Tehran, Iran",4-Aug-21
Compassionate use of ruxolitinib in patients with SARS-Cov-2 infection not on mechanical ventilation: Short-term effects on inflammation and ventilation,33403775,31,Drug(s),Ruxolitinib,,,,No,Pilot study,,"Monza, Italy",27-Jan-21
Longitudinal monitoring of laboratory markers characterizes hospitalized and ambulatory COVID-19 patients,PMC8280222,42,Other,,,,,No,Longitudinal study,,Germany,14-Jul-21
