Publication Title,PMID,Number of patients,Type of intervention,Drug(s)/Vaccine(s) - if used,"Start date
(if known)","End date 
(if known)","Duration
(in days)",Meta-analysis (Y/N),Type of trial,Retrospective/ Prospective,Geographic location,Date of publication
"Experimental Treatment with Favipiravir for COVID-19: An Open-Label
Control Study",32346491,56,Drug(s),Favipiravir,,,,No,"Open-label, nonrandomized, before-after controlled
study",Prospective,"Shenzhen, China",18-Mar-20
High-resolution computed tomography manifestations of COVID-19 infections in patients of different ages.,32240913,98,Other,,,,,No,,Retrospective,"Zhejiang, China",24-Mar-20
Diagnosis of the Coronavirus disease (COVID-19): rRT-PCR or CT?,32229322,36,Other,,,,,No,,Retrospective,"Nanchang, China.",25-Mar-20
Asymptomatic SARS-CoV-2 infected patients with persistent negative CT findings.,32199142,295,None/Observatory,,23-Jan-20,18-Feb-20,27,No,,Retrospective,"Guangzhou, China",12-Mar-20
"CT manifestations of coronavirus disease-2019: A retrospective analysis of 73 cases by disease severity.",32193037,73,Other,,21-Jan-20,3-Feb-20,14,No,,Retrospective,"Anhui, China",12-Mar-20
Chest CT Findings in Patients With Coronavirus Disease 2019 and Its Relationship With Clinical Features.,32091414,80,Other,,1-Jan-20,1-Feb-20,32,No,,Retrospective,"Chongqing, China",21-Feb-20
"Clinical progression of patients with COVID-19 in Shanghai, China.",32171869,249,Drug(s),Lopinavir/ritonavir | Arbidol,20-Jan-20,6-Feb-20,18,No,Single-center,Retrospective,"Shanghai, China",19-Mar-20
"Clinical characteristics of severe acute respiratory syndrome coronavirus 2 reactivation.",32171867,55,Others | Drug(s),Glucocorticoids | Empirical antibiotics | Empirical Antivirals,8-Jan-20,10-Feb-20,34,No,,Retrospective,"Wuhan, China",20-Mar-20
Clinical and CT imaging features of the COVID-19 pneumonia: Focus on pregnant women and children.,32171865,59,Other,,27-Jan-20,14-Feb-20,19,No,,Retrospective,"Hubei, China",21-Mar-20
Evolution of Computed Tomography Manifestations in Five Patients Who Recovered from Coronavirus Disease 2019 (COVID-19) Pneumonia.,32174054,5,Drug(s) | Oxygen therapy | others,Glucocorticoids | Immunoglobulin | Empirical antibiotics |  Interferon α2β | Traditional Chinese medicine | Arbidol | Lopinavir/ritonavir,17-Jan-20,29-Jan-20,13,No,,,"Taizhou, China",13-Mar-20
"Clinical characteristics of 24 asymptomatic infections with COVID-19 screened among close contacts in Nanjing, China.",32146694,24,Drug(s) | others,Antifungal drugs | Empirical antibiotics | Immunoglobulin | Empirical Antivirals,28-Jan-20,9-Feb-20,13,No,,Retrospective,"Nanjing, China",4-Mar-20
Analysis of selective endoscopy results during the epidemic of coronavirus disease 2019 (COVID-19),32306597,911,Other,,20-Feb-20,6-Mar-20,16,No,,Retrospective,"Shanghai, China",1-Apr-20
Evaluation of ocular symptoms and tropism of SARS-CoV-2 in patients confirmed with COVID-19.,32336042,56,Other,,,,,No,,Retrospective,"Hangzhou, Zhejiang, China",26-Apr-20
"The impact of respiratory protective equipment on difficult airway management: a randomised, crossover, simulation study.",32335900,25,Airtraq intubation | VL intubation | FO intubation | Direct laryngoscopy,,1-Dec-19,1-Feb-20,63,No,"Randomised, crossover, simulation study.",Prospective,"London, UK",26-Apr-20
"Risk Factors Associated With Acute Respiratory Distress Syndrome and Death in Patients With Coronavirus Disease 2019 Pneumonia in Wuhan, China.",32167524,201,Drug(s),Methylprednisolone | Empirical Antivirals | Thymosin | Immunoglobulin | Recombinant human granulocyte colony stimulating factor | Empirical antibiotics ,,,,No,,Retrospective,"Wuhan, China",13-Mar-20
Incidence and clinical course of COVID-19 in patients with connective tissue diseases: a descriptive observational analysis.,32335513,123,Drug(s),Hydroxychloroquine | Mycophenolate | Methotrexate | Azathioprine | Cyclosporine |  Belimumab | Rituximab | Tocilizumab | Corticosteroids,,,,No,Descriptive observational analysis,,,25-Apr-20
Point-of-Care Lung Ultrasound Findings in Patients with Novel Coronavirus Disease (COVID-19) Pneumonia.,32333544,10,None/Observatory,,25-Mar-20,7-Apr-20,14,No,Observational study,Retrospective,"Rhode Island, USA",24-Apr-20
Successful recovery of COVID-19 pneumonia in a patient from Colombia after receiving chloroquine and clarithromycin.,32331519,1,Drug(s),Chloroquine | Clarithromycin,,,,No,Case report,," Colombia, Latin America",24-Apr-20
Clinical course of coronavirus disease 2019 (COVID-19) in a series of 17 patients with systemic lupus erythematosus under long-term treatment with hydroxychloroquine,32332072,17,Drug(s),Hydroxychloroquine,29-Mar-20,6-Apr-20,9,No,Observational study,,France,24-Apr-20
"Asymptomatic SARS-CoV-2 Infection in Household Contacts of a Healthcare Provider, Wuhan, China.",32330112,5,None/Observatory,,11-Feb-20,1-Mar-20,20,No,Single-household observational study ,,"Wuhan, China",24-Apr-20
Characteristics of Patients with Coronavirus Disease (COVID-19) Confirmed using an IgM-IgG Antibody Test.,32330303,56,Other,,15-Feb-20,25-Feb-20,11,No,Descriptive observational study,Retrospective,"Wuhan, China",24-Apr-20
Diagnostic accuracy of an automated chemiluminescent immunoassay for anti-SARS-CoV-2 IgM and IgG antibodies: an Italian experience.,32330291,61,Other,,,,,No,,,"Florence, Italy",24-Apr-20
Effect of High vs Low Doses of Chloroquine Diphosphate as Adjunctive Therapy for Patients Hospitalized With Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection: A Randomized Clinical Trial.,32330277,81,Drug(s),Chloroquine,23-Mar-20,5-Apr-20,14,No,"Parallel, double-masked, randomized, phase IIb clinical trial",Retrospective,"Manaus, Brazil",24-Apr-20
Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Vertical Transmission in Neonates Born to Mothers With Coronavirus Disease 2019 (COVID-19) Pneumonia.,32332320,7,Other,,20-Jan-20,20-Feb-20,32,No,,,"Wuhan, China",24-Apr-20
Retrospective study of risk factors for severe SARS-Cov-2 infections in hospitalized adult patients.,32329978,108,Drug(s) | Others,Empirical antibiotics | Empirical Antivirals | Immunoglobulin | Corticosteroid,31-Jan-20,10-Mar-20,40,No,,Retrospective,"Huanggang, China.",24-Apr-20
Coronavirus disease 2019 (COVID-19) in pregnant women: A report based on 116 cases.,32335053,116,Drug(s) | Others,Empirical Antivirals | Empirical antibiotics | Corticosteroid,20-Jan-20,24-Mar-20,65,No,,Retrospective, China,23-Apr-20
Conjunctivitis and COVID-19: a meta-analysis.,32330304,"1,167",None/Observatory,,,,,Yes,,"1st one 30 pt. Prospective
2nd one 1099 pt. Retrospective
3rd one 38 pt. Retrospective","Roma, Italy",24-Apr-20
"Clinical analysis of ten pregnant women with COVID-19 in Wuhan, China: A retrospective study.",32335338,10,Other,,23-Jan-20,23-Feb-20,32,No,Observational study,Retrospective,"Wuhan, China",23-Apr-20
"Positive rectal swabs in young patients recovered from coronavirus disease 2019 (COVID-19).",32335176,7,Drug(s),Arbidol | Lopinavir/ritonavir | Interferon α1β | Oseltamivir ,30-Jan-20,5-Feb-20,7,No,Observational case study,,"Guangdong, China",23-Apr-20
"Clinical and epidemiological features of COVID-19 family clusters in Beijing, China.",32335171,24,Other,,,,,No,Observational study,,"Beijing, China",23-Apr-20
Risk factors of critical & mortal COVID-19 cases: A systematic literature review and meta-analysis.,32335169,"3,027",None/Observatory,,,,,Yes,,Retrospective studies,China,23-Apr-20
"Dynamics of anti-SARS-Cov-2 IgM and IgG antibodies among COVID-19 patients.",32335168,42,Other,,,,,No,Positive-negative (control) study,Retrospective,Taiwan,23-Apr-20
Clinical and virologic characteristics of the first 12 patients with coronavirus disease 2019 (COVID-19) in the United States.,32327757,12,Drug(s) | Other,Remdesivir | Corticosteroids,1-Jan-20,1-Feb-20,32,No,Observational study,Retrospective,USA,23-Apr-20
Anti-SARS-CoV-2 virus antibody levels in convalescent plasma of six donors who have recovered from COVID-19.,32320384,8,Plasma | Drug(s),Immunoglobulin (IVIG) | Methylprednisolone | Lopinavir/ritonavir | Interferon-α,,,,No,,Prospective,"Jiangsu, China",22-Apr-20
Characteristic CT findings distinguishing 2019 novel coronavirus disease (COVID-19) from influenza pneumonia.,32323011,13,Other,,16-Jan-20,25-Feb-20,41,No,,Retrospective,"Shanghai, China",22-Apr-20
Clinical value of immune-inflammatory parameters to assess the severity of coronavirus disease 2019.,32334118,127,None/Observatory,,23-Jan-20,20-Feb-20,29,No,Observational study,Retrospective,"Ningbo, China",22-Apr-20
"Presenting Characteristics, Comorbidities, and Outcomes Among 5700 Patients Hospitalized With COVID-19 in the New York City Area.",32320003,"5,700",None/Observatory,,1-Mar-20,4-Apr-20,35,No,Descriptive study,Retrospective,"New York, USA",22-Apr-20
Factors associated with negative conversion of viral RNA in patients hospitalized with COVID-19.,32335406,59,Other,,,,,No,,Retrospective,"Qingdao, Shandong Province, China",22-Apr-20
